Valid from,§ 12 (2) 1,§ 12 (1) 1,§ 12 (2) 2,§ 12 (1) 2,BAföGÄndg,Article
2024-07-25,666,276,775,498,29. BAföGÄndg,
2022-07-22,632,262,736,474,27. BAföGÄndg,
2020-08-01,585,247,681,448,26. BAföGÄndg,2
2019-07-16,580,243,675,439,26. BAföGÄndg,1
2016-08-01,504,231,587,418,25. BAföGÄndg,
2010-10-01,465,216,543,391,23. BAföGÄndg,
2008-10-01,383,212,459,383,22. BAföGÄndg,
2002-01-01,348,192,417,348,,
